Match Number,Round Number,Date,Home,Home Score,Away Score,Away,Group
1,1,2026-06-11T19:00:00Z,Mexico,2,0,South Africa,Group A
2,1,2026-06-12T02:00:00Z,Korea Republic,2,1,Czechia,Group A
3,1,2026-06-12T19:00:00Z,Canada,1,1,Bosnia,Group B
4,1,2026-06-13T01:00:00Z,USA,4,1,Paraguay,Group D
8,1,2026-06-13T19:00:00Z,Qatar,1,1,Switzerland,Group B
7,1,2026-06-13T22:00:00Z,Brazil,1,1,Morocco,Group C
5,1,2026-06-14T01:00:00Z,Haiti,0,1,Scotland,Group C
6,1,2026-06-14T04:00:00Z,Australia,2,0,Türkiye,Group D
10,1,2026-06-14T17:00:00Z,Germany,7,1,Curaçao,Group E
11,1,2026-06-14T20:00:00Z,Netherlands,2,2,Japan,Group F
9,1,2026-06-14T23:00:00Z,Côte d'Ivoire,1,0,Ecuador,Group E
12,1,2026-06-15T02:00:00Z,Sweden,5,1,Tunisia,Group F
14,1,2026-06-15T16:00:00Z,Spain,0,0,Cabo Verde,Group H
16,1,2026-06-15T19:00:00Z,Belgium,1,1,Egypt,Group G
13,1,2026-06-15T22:00:00Z,Saudi Arabia,1,1,Uruguay,Group H
15,1,2026-06-16T01:00:00Z,IR Iran,2,2,New Zealand,Group G
17,1,2026-06-16T19:00:00Z,France,3,1,Senegal,Group I
18,1,2026-06-16T22:00:00Z,Iraq,1,4,Norway,Group I
19,1,2026-06-17T01:00:00Z,Argentina,3,0,Algeria,Group J
20,1,2026-06-17T04:00:00Z,Austria,3,1,Jordan,Group J
23,1,2026-06-17T17:00:00Z,Portugal,1,1,Congo DR,Group K
22,1,2026-06-17T20:00:00Z,England,3,2,Croatia,Group L
21,1,2026-06-17T23:00:00Z,Ghana,1,0,Panama,Group L
24,1,2026-06-18T02:00:00Z,Uzbekistan,1,3,Colombia,Group K
25,2,2026-06-18T16:00:00Z,Czechia,1,1,South Africa,Group A
26,2,2026-06-18T19:00:00Z,Switzerland,4,1,Bosnia,Group B
27,2,2026-06-18T22:00:00Z,Canada,6,0,Qatar,Group B
28,2,2026-06-19T01:00:00Z,Mexico,1,0,Korea Republic,Group A
32,2,2026-06-19T19:00:00Z,USA,2,0,Australia,Group D
30,2,2026-06-19T22:00:00Z,Scotland,0,1,Morocco,Group C
29,2,2026-06-20T01:00:00Z,Brazil,3,0,Haiti,Group C
31,2,2026-06-20T04:00:00Z,Türkiye,0,1,Paraguay,Group D
35,2,2026-06-20T17:00:00Z,Netherlands,5,1,Sweden,Group F
33,2,2026-06-20T20:00:00Z,Germany,2,1,Côte d'Ivoire,Group E
34,2,2026-06-21T00:00:00Z,Ecuador,0,0,Curaçao,Group E
36,2,2026-06-21T04:00:00Z,Tunisia,0,4,Japan,Group F
38,2,2026-06-21T16:00:00Z,Spain,4,0,Saudi Arabia,Group H
39,2,2026-06-21T19:00:00Z,Belgium,0,0,IR Iran,Group G
37,2,2026-06-21T22:00:00Z,Uruguay,2,2,Cabo Verde,Group H
40,2,2026-06-22T01:00:00Z,New Zealand,1,3,Egypt,Group G
43,2,2026-06-22T17:00:00Z,Argentina,2,0,Austria,Group J
42,2,2026-06-22T21:00:00Z,France,3,0,Iraq,Group I
41,2,2026-06-23T00:00:00Z,Norway,3,2,Senegal,Group I
44,2,2026-06-23T03:00:00Z,Jordan,1,2,Algeria,Group J
47,2,2026-06-23T17:00:00Z,Portugal,5,0,Uzbekistan,Group K
45,2,2026-06-23T20:00:00Z,England,0,0,Ghana,Group L
46,2,2026-06-23T23:00:00Z,Panama,0,1,Croatia,Group L
48,2,2026-06-24T02:00:00Z,Colombia,1,0,Congo DR,Group K
51,3,2026-06-24T19:00:00Z,Switzerland,2,1,Canada,Group B
52,3,2026-06-24T19:00:00Z,Bosnia,3,1,Qatar,Group B
49,3,2026-06-24T22:00:00Z,Scotland,0,3,Brazil,Group C
50,3,2026-06-24T22:00:00Z,Morocco,4,2,Haiti,Group C
53,3,2026-06-25T01:00:00Z,Czechia,0,3,Mexico,Group A
54,3,2026-06-25T01:00:00Z,South Africa,1,0,Korea Republic,Group A
55,3,2026-06-25T20:00:00Z,Curaçao,0,2,Côte d'Ivoire,Group E
56,3,2026-06-25T20:00:00Z,Ecuador,2,1,Germany,Group E
57,3,2026-06-25T23:00:00Z,Japan,1,1,Sweden,Group F
58,3,2026-06-25T23:00:00Z,Tunisia,1,3,Netherlands,Group F
59,3,2026-06-26T02:00:00Z,Türkiye,3,2,USA,Group D
60,3,2026-06-26T02:00:00Z,Paraguay,0,0,Australia,Group D
61,3,2026-06-26T19:00:00Z,Norway,1,4,France,Group I
62,3,2026-06-26T19:00:00Z,Senegal,5,0,Iraq,Group I
65,3,2026-06-27T00:00:00Z,Cabo Verde,0,0,Saudi Arabia,Group H
66,3,2026-06-27T00:00:00Z,Uruguay,0,1,Spain,Group H
63,3,2026-06-27T03:00:00Z,Egypt,1,1,IR Iran,Group G
64,3,2026-06-27T03:00:00Z,New Zealand,1,5,Belgium,Group G
67,3,2026-06-27T21:00:00Z,Panama,0,2,England,Group L
68,3,2026-06-27T21:00:00Z,Croatia,2,1,Ghana,Group L
71,3,2026-06-27T23:30:00Z,Colombia,0,0,Portugal,Group K
72,3,2026-06-27T23:30:00Z,Congo DR,3,1,Uzbekistan,Group K
69,3,2026-06-28T02:00:00Z,Algeria,3,3,Austria,Group J
70,3,2026-06-28T02:00:00Z,Jordan,1,3,Argentina,Group J
73,Round of 32,2026-06-28T19:00:00Z,South Africa,0,1,Canada,
76,Round of 32,2026-06-29T17:00:00Z,Brazil,2,1,Japan,
74,Round of 32,2026-06-29T20:30:00Z,Germany,1,1,Paraguay,
75,Round of 32,2026-06-30T01:00:00Z,Netherlands,1,1,Morocco,
78,Round of 32,2026-06-30T17:00:00Z,Côte d'Ivoire,1,2,Norway,
77,Round of 32,2026-06-30T21:00:00Z,France,3,0,Sweden,
79,Round of 32,2026-07-01T01:00:00Z,Mexico,2,0,Ecuador,
80,Round of 32,2026-07-01T16:00:00Z,England,2,1,Congo DR,
82,Round of 32,2026-07-01T20:00:00Z,Belgium,3,2,Senegal,
81,Round of 32,2026-07-02T00:00:00Z,USA,2,0,Bosnia,
84,Round of 32,2026-07-02T19:00:00Z,Spain,3,0,Austria,
83,Round of 32,2026-07-02T23:00:00Z,Portugal,2,1,Croatia,
85,Round of 32,2026-07-03T03:00:00Z,Switzerland,2,0,Algeria,
88,Round of 32,2026-07-03T18:00:00Z,Australia,1,1,Egypt,
86,Round of 32,2026-07-03T22:00:00Z,Argentina,3,2,Cabo Verde,
87,Round of 32,2026-07-04T01:30:00Z,Colombia,1,0,Ghana,
90,Round of 16,2026-07-04T17:00:00Z,Canada,0,3,Morocco,
89,Round of 16,2026-07-04T21:00:00Z,Paraguay,0,1,France,
91,Round of 16,2026-07-05T20:00:00Z,Brazil,1,2,Norway,
92,Round of 16,2026-07-06T00:00:00Z,Mexico,2,3,England,
93,Round of 16,2026-07-06T19:00:00Z,Portugal,0,1,Spain,
94,Round of 16,2026-07-07T00:00:00Z,USA,1,4,Belgium,
95,Round of 16,2026-07-07T16:00:00Z,Argentina,3,2,Egypt,
96,Round of 16,2026-07-07T20:00:00Z,Switzerland,0,0,Colombia,
97,Quarter Finals,2026-07-09T20:00:00Z,France,2,0,Morocco,
98,Quarter Finals,2026-07-10T19:00:00Z,Spain,2,1,Belgium,
99,Quarter Finals,2026-07-11T21:00:00Z,Norway,1,2,England,
100,Quarter Finals,2026-07-12T01:00:00Z,Argentina,3,1,Switzerland,
101,Semi Finals,2026-07-14T19:00:00Z,France,0,2,Spain,
102,Semi Finals,2026-07-15T19:00:00Z,England,1,2,Argentina,
103,3rd Place Final,2026-07-18T21:00:00Z,France,4,6,England,
104,Final,2026-07-19T19:00:00Z,Spain,,,Argentina,
