Match,Sam,Ryan,Dave,Julie,Nan,Charlie,Runi
1,1,1,0,1,1,3,3
2,1,4,0,1,4,3,3
3,1,7,0,4,4,3,4
4,2,7,1,4,5,4,5
5,2,7,1,4,5,4,5
6,2,7,1,4,5,4,5
7,3,8,2,5,6,5,6
8,3,8,2,5,9,5,6
9,4,9,3,6,10,6,7
10,5,10,3,6,13,6,7
11,5,10,3,6,13,6,8
12,6,11,4,7,14,6,9
13,6,11,4,7,14,6,9
14,6,14,4,8,14,6,10
15,6,14,4,8,14,6,10
16,7,15,5,8,14,6,11
17,8,18,6,11,15,9,14
18,9,19,7,12,16,10,15
19,10,20,10,13,17,11,16
20,11,20,11,14,17,12,17
21,11,20,11,14,17,12,17
22,12,21,12,14,18,13,18
23,12,22,12,15,18,14,19
24,13,23,13,16,19,15,20
25,13,23,13,16,19,15,20
26,13,23,13,17,20,16,20
27,14,24,14,17,21,17,21
28,14,25,14,17,22,18,21
29,15,26,15,17,22,21,22
30,16,27,16,18,23,21,22
31,19,28,17,19,24,24,23
32,19,28,17,19,24,24,23
33,20,28,17,20,25,24,23
34,23,29,18,21,26,25,23
35,23,29,18,21,26,25,23
36,24,30,18,22,26,26,24
37,25,31,21,25,27,27,25
38,25,31,21,25,27,27,25
39,25,31,21,25,28,27,25
40,25,32,21,28,29,28,25
41,28,33,22,29,30,29,26
42,31,34,24,30,33,31,27
43,31,35,24,30,33,34,27
44,31,35,25,33,33,34,27
45,32,36,26,34,34,35,28
46,32,36,26,34,34,35,28
47,33,37,27,35,35,36,30
48,34,38,28,36,36,37,31
49,34,38,28,39,37,37,31
50,35,39,29,40,38,38,32
51,38,40,30,41,39,41,33
52,39,41,31,42,40,42,34
53,40,42,32,42,40,43,35
54,40,42,32,42,41,43,35
55,41,43,32,45,41,43,38
56,41,43,32,45,41,43,38
57,44,44,32,45,44,46,38
58,47,45,33,46,47,47,39
59,47,45,33,46,47,47,39
60,50,46,34,46,47,47,40
61,51,47,35,47,48,48,41
62,52,48,36,48,49,49,42
63,52,49,37,48,49,50,43
64,53,50,38,49,50,51,44
65,53,50,38,49,50,54,44
66,54,51,39,50,51,55,45
67,57,52,40,51,52,56,46
68,58,52,40,51,55,56,46
69,59,52,40,51,55,56,46
70,60,53,41,52,55,57,47
71,62,54,41,52,56,57,48
72,63,55,42,53,57,58,49
73,64,56,43,54,59,59,50
74,65,59,44,56,60,60,51
75,65,59,44,56,60,60,51
76,68,59,45,56,63,60,52
77,71,62,46,57,63,63,52
78,72,63,47,58,66,65,53
79,73,64,50,59,69,68,54
80,74,66,51,62,72,71,55
81,74,67,51,63,73,71,55
82,74,70,52,63,76,72,56
83,75,71,53,66,77,73,57
84,75,74,56,67,78,73,58
85,76,75,59,68,79,74,61
86,76,75,59,68,79,74,64
87,77,76,60,69,80,75,65
88,80,77,60,69,80,76,66
89,81,78,61,70,80,76,66
90,82,80,62,71,81,77,67
91,82,80,62,71,81,80,67
92,82,81,63,71,81,81,68
93,83,82,64,72,81,81,68
94,84,82,64,73,82,82,68
95,85,83,65,74,85,82,68
96,85,83,65,74,85,82,69
